id,platform,problem_id,name,url,tags,rating,contest_id,solved_count,point,difficulty,cf_scaled_difficulty
codeforces_2108_E,Codeforces,E,Spruce Dispute,https://codeforces.com/problemset/problem/2108/E,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'shortest paths', 'trees']",2600.0,2108,553,,,2600.0
codeforces_2108_D,Codeforces,D,Needle in a Numstack,https://codeforces.com/problemset/problem/2108/D,"['binary search', 'brute force', 'implementation', 'interactive']",2200.0,2108,1927,,,2200.0
codeforces_2108_C,Codeforces,C,Neo's Escape,https://codeforces.com/problemset/problem/2108/C,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'graphs', 'greedy', 'implementation']",1500.0,2108,11053,,,1500.0
codeforces_2108_B,Codeforces,B,SUMdamental Decomposition,https://codeforces.com/problemset/problem/2108/B,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation', 'math']",1300.0,2108,11800,,,1300.0
codeforces_2108_A,Codeforces,A,Permutation Warm-Up,https://codeforces.com/problemset/problem/2108/A,"['combinatorics', 'greedy', 'math']",800.0,2108,19122,,,800.0
codeforces_2107_F2,Codeforces,F2,Cycling (Hard Version),https://codeforces.com/problemset/problem/2107/F2,"['binary search', 'brute force', 'data structures', 'dp', 'greedy']",2800.0,2107,313,,,2800.0
codeforces_2107_F1,Codeforces,F1,Cycling (Easy Version),https://codeforces.com/problemset/problem/2107/F1,"['binary search', 'brute force', 'dp', 'greedy']",2300.0,2107,1370,,,2300.0
codeforces_2107_E,Codeforces,E,Ain and Apple Tree,https://codeforces.com/problemset/problem/2107/E,"['binary search', 'constructive algorithms', 'greedy', 'math', 'trees']",2600.0,2107,594,,,2600.0
codeforces_2107_D,Codeforces,D,Apple Tree Traversing,https://codeforces.com/problemset/problem/2107/D,"['brute force', 'dfs and similar', 'greedy', 'implementation', 'trees']",2100.0,2107,2789,,,2100.0
codeforces_2107_C,Codeforces,C,Maximum Subarray Sum,https://codeforces.com/problemset/problem/2107/C,"['binary search', 'constructive algorithms', 'dp', 'implementation', 'math']",1500.0,2107,9113,,,1500.0
codeforces_2107_B,Codeforces,B,Apples in Boxes,https://codeforces.com/problemset/problem/2107/B,"['games', 'greedy', 'math']",1100.0,2107,16149,,,1100.0
codeforces_2107_A,Codeforces,A,LRC and VIP,https://codeforces.com/problemset/problem/2107/A,"['greedy', 'number theory']",800.0,2107,19178,,,800.0
codeforces_2106_G2,Codeforces,G2,Baudelaire (hard version),https://codeforces.com/problemset/problem/2106/G2,"['binary search', 'dfs and similar', 'divide and conquer', 'implementation', 'interactive', 'trees']",2500.0,2106,446,,,2500.0
codeforces_2106_G1,Codeforces,G1,Baudelaire (easy version),https://codeforces.com/problemset/problem/2106/G1,"['binary search', 'constructive algorithms', 'divide and conquer', 'greedy', 'interactive', 'trees']",2200.0,2106,1269,,,2200.0
